Venue:,Capacity:,Timestamp:
MyFitness Balti Jaama Turg,60%,2021-03-03 17:41:15.422974
MyFitness Järve,57%,2021-03-03 17:41:15.422976
MyFitness Kristiine,54%,2021-03-03 17:41:15.422977
MyFitness Lasnamäe Kärberi,14%,2021-03-03 17:41:15.422977
MyFitness Lasnamäe Linnamäe,38%,2021-03-03 17:41:15.422978
MyFitness Lasnamäe Virbi,22%,2021-03-03 17:41:15.422979
MyFitness Mustamäe,58%,2021-03-03 17:41:15.422979
MyFitness Narva,57%,2021-03-03 17:41:15.422980
MyFitness Pirita,39%,2021-03-03 17:41:15.422980
MyFitness Postimaja,35%,2021-03-03 17:41:15.422981
MyFitness Rocca al Mare,89%,2021-03-03 17:41:15.422981
MyFitness Rävala,80%,2021-03-03 17:41:15.422982
MyFitness Solaris,26%,2021-03-03 17:41:15.422982
MyFitness Tartu Annelinn,64%,2021-03-03 17:41:15.422983
MyFitness Tartu Kesklinn,50%,2021-03-03 17:41:15.422983
MyFitness Tartu Lõunakeskus,63%,2021-03-03 17:41:15.422984
MyFitness Viimsi,43%,2021-03-03 17:41:15.422984
MyFitness Viljandi,61%,2021-03-03 17:41:15.422985
MyFitness Viru,40%,2021-03-03 17:41:15.422986
MyFitness Ülemiste City,50%,2021-03-03 17:41:15.422986
MyFitness Balti Jaama Turg,58%,2021-03-03 17:42:54.941318
MyFitness Järve,57%,2021-03-03 17:42:54.941320
MyFitness Kristiine,51%,2021-03-03 17:42:54.941321
MyFitness Lasnamäe Kärberi,14%,2021-03-03 17:42:54.941321
MyFitness Lasnamäe Linnamäe,35%,2021-03-03 17:42:54.941322
MyFitness Lasnamäe Virbi,22%,2021-03-03 17:42:54.941323
MyFitness Mustamäe,54%,2021-03-03 17:42:54.941323
MyFitness Narva,55%,2021-03-03 17:42:54.941324
MyFitness Pirita,34%,2021-03-03 17:42:54.941325
MyFitness Postimaja,32%,2021-03-03 17:42:54.941325
MyFitness Rocca al Mare,84%,2021-03-03 17:42:54.941326
MyFitness Rävala,77%,2021-03-03 17:42:54.941326
MyFitness Solaris,26%,2021-03-03 17:42:54.941327
MyFitness Tartu Annelinn,60%,2021-03-03 17:42:54.941327
MyFitness Tartu Kesklinn,50%,2021-03-03 17:42:54.941328
MyFitness Tartu Lõunakeskus,63%,2021-03-03 17:42:54.941329
MyFitness Viimsi,41%,2021-03-03 17:42:54.941329
MyFitness Viljandi,55%,2021-03-03 17:42:54.941330
MyFitness Viru,37%,2021-03-03 17:42:54.941331
MyFitness Ülemiste City,45%,2021-03-03 17:42:54.941331
MyFitness Balti Jaama Turg,25%,2021-03-03 20:05:49.276129
MyFitness Järve,26%,2021-03-03 20:05:49.276133
MyFitness Kristiine,1%,2021-03-03 20:05:49.276134
MyFitness Lasnamäe Kärberi,10%,2021-03-03 20:05:49.276135
MyFitness Lasnamäe Linnamäe,13%,2021-03-03 20:05:49.276137
MyFitness Lasnamäe Virbi,0%,2021-03-03 20:05:49.276139
MyFitness Mustamäe,30%,2021-03-03 20:05:49.276140
MyFitness Narva,0%,2021-03-03 20:05:49.276141
MyFitness Pirita,4%,2021-03-03 20:05:49.276142
MyFitness Postimaja,11%,2021-03-03 20:05:49.276143
MyFitness Rocca al Mare,33%,2021-03-03 20:05:49.276144
MyFitness Rävala,40%,2021-03-03 20:05:49.276145
MyFitness Solaris,0%,2021-03-03 20:05:49.276146
MyFitness Tartu Annelinn,26%,2021-03-03 20:05:49.276147
MyFitness Tartu Kesklinn,24%,2021-03-03 20:05:49.276148
MyFitness Tartu Lõunakeskus,0%,2021-03-03 20:05:49.276149
MyFitness Viimsi,26%,2021-03-03 20:05:49.276150
MyFitness Viljandi,27%,2021-03-03 20:05:49.276151
MyFitness Viru,15%,2021-03-03 20:05:49.276152
MyFitness Ülemiste City,21%,2021-03-03 20:05:49.276153
MyFitness Balti Jaama Turg,0%,2021-03-03 21:06:08.583568
MyFitness Järve,0%,2021-03-03 21:06:08.583572
MyFitness Kristiine,1%,2021-03-03 21:06:08.583573
MyFitness Lasnamäe Kärberi,0%,2021-03-03 21:06:08.583573
MyFitness Lasnamäe Linnamäe,4%,2021-03-03 21:06:08.583575
MyFitness Lasnamäe Virbi,0%,2021-03-03 21:06:08.583576
MyFitness Mustamäe,3%,2021-03-03 21:06:08.583577
MyFitness Narva,0%,2021-03-03 21:06:08.583577
MyFitness Pirita,3%,2021-03-03 21:06:08.583578
MyFitness Postimaja,5%,2021-03-03 21:06:08.583579
MyFitness Rocca al Mare,8%,2021-03-03 21:06:08.583580
MyFitness Rävala,1%,2021-03-03 21:06:08.583581
MyFitness Solaris,0%,2021-03-03 21:06:08.583582
MyFitness Tartu Annelinn,1%,2021-03-03 21:06:08.583583
MyFitness Tartu Kesklinn,0%,2021-03-03 21:06:08.583583
MyFitness Tartu Lõunakeskus,0%,2021-03-03 21:06:08.583584
MyFitness Viimsi,2%,2021-03-03 21:06:08.583585
MyFitness Viljandi,20%,2021-03-03 21:06:08.583586
MyFitness Viru,8%,2021-03-03 21:06:08.583587
MyFitness Ülemiste City,1%,2021-03-03 21:06:08.583587
MyFitness Viimsi,0%,2021-03-03 23:05:56.913203
MyFitness Viimsi,0%,2021-03-04 00:06:09.967846
MyFitness Viimsi,0%,2021-03-04 01:06:00.723811
MyFitness Viimsi,0%,2021-03-04 02:06:02.329457
MyFitness Viimsi,0%,2021-03-04 03:06:07.720920
MyFitness Rävala,19%,2021-03-04 04:06:09.204067
MyFitness Viimsi,0%,2021-03-04 04:06:09.204072
MyFitness Balti Jaama Turg,21%,2021-03-04 05:06:11.436964
MyFitness Järve,47%,2021-03-04 05:06:11.436968
MyFitness Kristiine,12%,2021-03-04 05:06:11.436969
MyFitness Lasnamäe Kärberi,7%,2021-03-04 05:06:11.436969
MyFitness Lasnamäe Linnamäe,10%,2021-03-04 05:06:11.436971
MyFitness Lasnamäe Virbi,7%,2021-03-04 05:06:11.436972
MyFitness Mustamäe,20%,2021-03-04 05:06:11.436973
MyFitness Narva,4%,2021-03-04 05:06:11.436973
MyFitness Pirita,4%,2021-03-04 05:06:11.436975
MyFitness Postimaja,9%,2021-03-04 05:06:11.436976
MyFitness Rocca al Mare,45%,2021-03-04 05:06:11.436977
MyFitness Rävala,29%,2021-03-04 05:06:11.436978
MyFitness Solaris,2%,2021-03-04 05:06:11.436979
MyFitness Tartu Annelinn,26%,2021-03-04 05:06:11.436980
MyFitness Tartu Kesklinn,11%,2021-03-04 05:06:11.436981
MyFitness Tartu Lõunakeskus,13%,2021-03-04 05:06:11.436982
MyFitness Viimsi,4%,2021-03-04 05:06:11.436983
MyFitness Viljandi,2%,2021-03-04 05:06:11.436984
MyFitness Viru,8%,2021-03-04 05:06:11.436986
MyFitness Ülemiste City,19%,2021-03-04 05:06:11.436986
MyFitness Balti Jaama Turg,33%,2021-03-04 06:06:10.260104
MyFitness Järve,49%,2021-03-04 06:06:10.260108
MyFitness Kristiine,29%,2021-03-04 06:06:10.260109
MyFitness Lasnamäe Kärberi,10%,2021-03-04 06:06:10.260110
MyFitness Lasnamäe Linnamäe,20%,2021-03-04 06:06:10.260112
MyFitness Lasnamäe Virbi,9%,2021-03-04 06:06:10.260113
MyFitness Mustamäe,34%,2021-03-04 06:06:10.260114
MyFitness Narva,30%,2021-03-04 06:06:10.260115
MyFitness Pirita,14%,2021-03-04 06:06:10.260116
MyFitness Postimaja,23%,2021-03-04 06:06:10.260117
MyFitness Rocca al Mare,68%,2021-03-04 06:06:10.260118
MyFitness Rävala,43%,2021-03-04 06:06:10.260119
MyFitness Solaris,19%,2021-03-04 06:06:10.260120
MyFitness Tartu Annelinn,26%,2021-03-04 06:06:10.260121
MyFitness Tartu Kesklinn,41%,2021-03-04 06:06:10.260122
MyFitness Tartu Lõunakeskus,35%,2021-03-04 06:06:10.260123
MyFitness Viimsi,10%,2021-03-04 06:06:10.260124
MyFitness Viljandi,25%,2021-03-04 06:06:10.260125
MyFitness Viru,20%,2021-03-04 06:06:10.260126
MyFitness Ülemiste City,31%,2021-03-04 06:06:10.260127
MyFitness Balti Jaama Turg,30%,2021-03-04 07:05:56.008381
MyFitness Järve,20%,2021-03-04 07:05:56.008385
MyFitness Kristiine,24%,2021-03-04 07:05:56.008387
MyFitness Lasnamäe Kärberi,15%,2021-03-04 07:05:56.008388
MyFitness Lasnamäe Linnamäe,27%,2021-03-04 07:05:56.008389
MyFitness Lasnamäe Virbi,18%,2021-03-04 07:05:56.008390
MyFitness Mustamäe,28%,2021-03-04 07:05:56.008391
MyFitness Narva,45%,2021-03-04 07:05:56.008392
MyFitness Pirita,21%,2021-03-04 07:05:56.008393
MyFitness Postimaja,14%,2021-03-04 07:05:56.008394
MyFitness Rocca al Mare,55%,2021-03-04 07:05:56.008395
MyFitness Rävala,53%,2021-03-04 07:05:56.008396
MyFitness Solaris,24%,2021-03-04 07:05:56.008397
MyFitness Tartu Annelinn,39%,2021-03-04 07:05:56.008398
